job_id,job_title,company,experience,min exp,max exp,salary,base salary,max salary,location,jobListed(days ago),postedIn,rating,reviews count,details,salary data provide by
1390,Risk & Data Analyst,ADM,2-3 Yrs,2,3,,,,"Chennai, Pune, New Delhi
+4 more",90,Naukri,,,"Data Analyst, SAS, Data analysis",
237,Rezo.AI - Senior Data Analyst (4-6 yrs),Rezo.AI,4-6 Yrs,4,6,,,,Noida,24,hirist,4,57,"Data Analyst, Data Analytics, Statistical Analyst",
650,Revolo Infotech - Data Analyst (2-4 yrs),Revolo Infotech,,,,,,,,60,hirist,4.9,9,,
1090,Returnee programs -Senior Financial Data Analyst(Moody's),Somani Technologies,1-3 Yrs,1,3,,,,Bangalore / Bengaluru,19,Naukri,,,"Credit Analysis, Financial data analyst, Financial Analysis",
19,Retail Data Analyst,IDFC FIRST Bank,2-5 Yrs,2,5,,,,Mumbai,12,Naukri,4.5,2300,"Stress testing, Audit compliance, Regulatory reporting",
468,Research Analyst,CapeStart Software Private Limited,1-5 Yrs,1,5, 1.9 - 3.5L/yr (AmbitionBox estimate),190000,350000,Nagercoil,150,Naukri,4.6,268,"Analytical skills, Data analysis, Excel",Estimated by Ambition Box
1243,Research Analyst,"MarketJoy, Inc.",2-6 Yrs,2,6,,,,Pune,365,Naukri,3.4,6,"Market research, Data analysis, Data mining",
1088,Requirement For Senior Data Analyst in Jaipur,Shadow Placements,5-10 Yrs,5,10, 8 - 15L/yr,800000,1500000,"Gurgaon / Gurugram, Noida, Jaipur",19,Naukri,,,"Business Intelligence, Data Mining, Data Extraction",Salary Listed by Company
829,Report Designer/Developer,Pinion Services,1-8 Yrs,1,8,,,,"Hyderabad / Secunderabad, Visakhapatnam",365,Naukri,4.3,11,"SQL, SSRS, Data modeling",
1550,Reliability Data Analyst - RVR & JC,PinnacleART,1-7 Yrs,1,7,,,,Hyderabad / Secunderabad,90,Naukri,,,"Petroleum, Mining, Technical writing",
1394,Reliability Data Analyst - ANITS,PinnacleART,1-5 Yrs,1,5,,,,Hyderabad / Secunderabad,90,Naukri,,,"Petroleum, Mining, Technical writing",
1395,Reliability Data Analyst - ANITS,PinnacleART,1-5 Yrs,1,5,,,,Hyderabad / Secunderabad,90,Naukri,,,"Petroleum, Mining, Technical writing",
1551,Reliability Data Analyst - ANITS,PinnacleART,1-5 Yrs,1,5,,,,Hyderabad / Secunderabad,90,Naukri,,,"Petroleum, Mining, Technical writing",
933,Reliability Data Analyst,PinnacleART,1-6 Yrs,1,6,,,,Hyderabad / Secunderabad,4,Naukri,,,"Mining, Technical writing, Fixed assets",
150,"Reference Data Analyst, NCT",DEUTSCHE BANK AG,3-5 Yrs,3,5, 4.7 - 6L/yr (AmbitionBox estimate),470000,600000,Jaipur,30,Naukri,4,2900,"derivatives, data analysis, Fixed income cash",Estimated by Ambition Box
54,Reference Data Analyst,DEUTSCHE BANK AG,3-5 Yrs,3,5, 4.7 - 6L/yr (AmbitionBox estimate),470000,600000,Jaipur,10,Naukri,4,2900,"derivatives, Excel, Swap",Estimated by Ambition Box
80,Reference Data Analyst,Deutsche Bank,1-5 Yrs,1,5,,,,Jaipur,17,Naukri,4,2900,"SSI, Swift Messaging, Trade Settlements",
149,Reference Data Analyst,DEUTSCHE BANK AG,10-12 Yrs,10,12,,,,Bangalore / Bengaluru,30,Naukri,4,2900,"Modification, People management, Clearing Data Quality",
694,Reference Data Analyst,ICE DATA SERVICES INDIA PRIVATE LIMITED,0-2 Yrs,0,2,,,,Hyderabad/Secunderabad,240,First Naukri,3.2,100,"Excel, VBA, MS Office",
1228,RBHU Analytics - Data Analyst Trainee - R/Python (0-2 yrs),RBHU ETG Private Limited,0-2 Yrs,0,2,,,,Mumbai,60,hirist,2.9,4,"Data Analyst, R, Python",
839,RBHU Analytics - Data Analyst Trainee - R/Python,RBHU ETG Private Limited,0-2 Yrs,0,2,,,,Mumbai,27,Naukri,2.9,4,"Data Science, R, Power BI",
949,R&D Process Data Engineer / Data Analyst ( Female ONLY @ Oragadam ),Adonis Recruitment Consultants,3-8 Yrs,3,8, 8 - 12L/yr,800000,1200000,"Oragadam, Chennai, Sriperumbudur",5,Naukri,,,"Mathematics, Data Analyst, Statistics",Salary Listed by Company
